Level, Branch, Bus1, Bus2, Distance
64, Line.mdv201_da_8_679_a56772, 56764.1, 56772.1,     3.2530
65, Transformer.mdv201_da_8_679_a56772-1a, 56772.1, x_56772.1,     3.2530
66, Line.s_mdv201_da_8_679_a56772-1a2, x_56772.1, x_56772_3.1,     3.2835
-1, Load.mdv201_da_8_679_a56772-1a2, x_56772_3.1
66, Line.s_mdv201_da_8_679_a56772-1a1, x_56772.1, x_56772_2.1,     3.2835
-1, Load.mdv201_da_8_679_a56772-1a1, x_56772_2.1
66, Line.s_mdv201_da_8_679_a56772-1a0, x_56772.1, x_56772_1.1,     3.2835
-1, Load.mdv201_da_8_679_a56772-1a0, x_56772_1.1
54, Line.mdv201_99419fuse, 6582.1, 99419.1,     2.8174
55, Line.mdv201_da_8_459_a6583, 99419.1, 6583.1,     2.8899
56, Transformer.mdv201_da_8_459_a6583-1a, 6583.1, x_6583.1,     2.8899
57, Line.s_mdv201_da_8_459_a6583-1a1, x_6583.1, x_6583_2.1,     2.9204
-1, Load.mdv201_da_8_459_a6583-1a1, x_6583_2.1
57, Line.s_mdv201_da_8_459_a6583-1a0, x_6583.1, x_6583_1.1,     2.9204
-1, Load.mdv201_da_8_459_a6583-1a0, x_6583_1.1
49, Line.mdv201_hn_2_831_abc39762, 39763, 39762,     2.4791
44, Line.mdv201_106895fuse, 62264.2, 106895.2,     2.2876
45, Line.mdv201_hn_21050_b62307, 106895.2, 62307.2,     2.3616
46, Transformer.mdv201_hn_21050_b62307-1b, 62307.2, x_62307.2,     2.3616
47, Line.s_mdv201_hn_21050_b62307-1b0, x_62307.2, x_62307_1.2,     2.3921
-1, Load.mdv201_hn_21050_b62307-1b0, x_62307_1.2
42, Line.mdv201_106884fuse, 62242.3, 106884.3,     2.1629
43, Line.mdv201_hn_2_457_c62244, 106884.3, 62244.3,     2.1937
44, Transformer.mdv201_hn_2_457_c62244-1c, 62244.3, x_62244.3,     2.1937
45, Line.s_mdv201_hn_2_457_c62244-1c1, x_62244.3, x_62244_2.3,     2.2242
-1, Load.mdv201_hn_2_457_c62244-1c1, x_62244_2.3
45, Line.s_mdv201_hn_2_457_c62244-1c0, x_62244.3, x_62244_1.3,     2.2242
-1, Load.mdv201_hn_2_457_c62244-1c0, x_62244_1.3
44, Line.mdv201_hn_2_466_c62235, 62244.3, 62235.3,     2.2364
45, Transformer.mdv201_hn_2_466_c62235-1c, 62235.3, x_62235.3,     2.2364
46, Line.s_mdv201_hn_2_466_c62235-1c2, x_62235.3, x_62235_3.3,     2.2668
-1, Load.mdv201_hn_2_466_c62235-1c2, x_62235_3.3
46, Line.s_mdv201_hn_2_466_c62235-1c1, x_62235.3, x_62235_2.3,     2.2668
-1, Load.mdv201_hn_2_466_c62235-1c1, x_62235_2.3
46, Line.s_mdv201_hn_2_466_c62235-1c0, x_62235.3, x_62235_1.3,     2.2668
-1, Load.mdv201_hn_2_466_c62235-1c0, x_62235_1.3
45, Line.mdv201_hn_2_465_c62233, 62235.3, 62233.3,     2.2888
46, Transformer.mdv201_hn_2_465_c62233-1c, 62233.3, x_62233.3,     2.2888
47, Line.s_mdv201_hn_2_465_c62233-1c2, x_62233.3, x_62233_3.3,     2.3193
-1, Load.mdv201_hn_2_465_c62233-1c2, x_62233_3.3
47, Line.s_mdv201_hn_2_465_c62233-1c1, x_62233.3, x_62233_2.3,     2.3193
-1, Load.mdv201_hn_2_465_c62233-1c1, x_62233_2.3
47, Line.s_mdv201_hn_2_465_c62233-1c0, x_62233.3, x_62233_1.3,     2.3193
-1, Load.mdv201_hn_2_465_c62233-1c0, x_62233_1.3
46, Line.mdv201_hn_2_464_c62232, 62233.3, 62232.3,     2.3290
47, Transformer.mdv201_hn_2_464_c62232-1c, 62232.3, x_62232.3,     2.3290
48, Line.s_mdv201_hn_2_464_c62232-1c1, x_62232.3, x_62232_2.3,     2.3595
-1, Load.mdv201_hn_2_464_c62232-1c1, x_62232_2.3
48, Line.s_mdv201_hn_2_464_c62232-1c0, x_62232.3, x_62232_1.3,     2.3595
-1, Load.mdv201_hn_2_464_c62232-1c0, x_62232_1.3
47, Line.mdv201_hn_2_463_c62234, 62232.3, 62234.3,     2.3784
48, Transformer.mdv201_hn_2_463_c62234-1c, 62234.3, x_62234.3,     2.3784
49, Line.s_mdv201_hn_2_463_c62234-1c2, x_62234.3, x_62234_3.3,     2.4089
-1, Load.mdv201_hn_2_463_c62234-1c2, x_62234_3.3
49, Line.s_mdv201_hn_2_463_c62234-1c1, x_62234.3, x_62234_2.3,     2.4089
-1, Load.mdv201_hn_2_463_c62234-1c1, x_62234_2.3
49, Line.s_mdv201_hn_2_463_c62234-1c0, x_62234.3, x_62234_1.3,     2.4089
-1, Load.mdv201_hn_2_463_c62234-1c0, x_62234_1.3
48, Line.mdv201_hn_2_462_c62243, 62234.3, 62243.3,     2.4293
49, Transformer.mdv201_hn_2_462_c62243-1c, 62243.3, x_62243.3,     2.4293
50, Line.s_mdv201_hn_2_462_c62243-1c3, x_62243.3, x_62243_4.3,     2.4598
-1, Load.mdv201_hn_2_462_c62243-1c3, x_62243_4.3
50, Line.s_mdv201_hn_2_462_c62243-1c2, x_62243.3, x_62243_3.3,     2.4598
-1, Load.mdv201_hn_2_462_c62243-1c2, x_62243_3.3
50, Line.s_mdv201_hn_2_462_c62243-1c1, x_62243.3, x_62243_2.3,     2.4598
-1, Load.mdv201_hn_2_462_c62243-1c1, x_62243_2.3
50, Line.s_mdv201_hn_2_462_c62243-1c0, x_62243.3, x_62243_1.3,     2.4598
-1, Load.mdv201_hn_2_462_c62243-1c0, x_62243_1.3
49, Line.mdv201_hn_2_461_c62251, 62243.3, 62251.3,     2.4762
50, Transformer.mdv201_hn_2_461_c62251-1c, 62251.3, x_62251.3,     2.4762
51, Line.s_mdv201_hn_2_461_c62251-1c2, x_62251.3, x_62251_3.3,     2.5067
-1, Load.mdv201_hn_2_461_c62251-1c2, x_62251_3.3
51, Line.s_mdv201_hn_2_461_c62251-1c1, x_62251.3, x_62251_2.3,     2.5067
-1, Load.mdv201_hn_2_461_c62251-1c1, x_62251_2.3
51, Line.s_mdv201_hn_2_461_c62251-1c0, x_62251.3, x_62251_1.3,     2.5067
-1, Load.mdv201_hn_2_461_c62251-1c0, x_62251_1.3
50, Line.mdv201_hn_2_460_c62258, 62251.3, 62258.3,     2.5293
51, Transformer.mdv201_hn_2_460_c62258-1c, 62258.3, x_62258.3,     2.5293
52, Line.s_mdv201_hn_2_460_c62258-1c2, x_62258.3, x_62258_3.3,     2.5597
-1, Load.mdv201_hn_2_460_c62258-1c2, x_62258_3.3
52, Line.s_mdv201_hn_2_460_c62258-1c1, x_62258.3, x_62258_2.3,     2.5597
-1, Load.mdv201_hn_2_460_c62258-1c1, x_62258_2.3
52, Line.s_mdv201_hn_2_460_c62258-1c0, x_62258.3, x_62258_1.3,     2.5597
-1, Load.mdv201_hn_2_460_c62258-1c0, x_62258_1.3
51, Line.mdv201_hn_2_459_c62259, 62258.3, 62259.3,     2.5854
52, Transformer.mdv201_hn_2_459_c62259-1c, 62259.3, x_62259.3,     2.5854
53, Line.s_mdv201_hn_2_459_c62259-1c1, x_62259.3, x_62259_2.3,     2.6158
-1, Load.mdv201_hn_2_459_c62259-1c1, x_62259_2.3
53, Line.s_mdv201_hn_2_459_c62259-1c0, x_62259.3, x_62259_1.3,     2.6158
-1, Load.mdv201_hn_2_459_c62259-1c0, x_62259_1.3
39, Line.mdv201_106882fuse, 38388.2, 106882.2,     2.0102
40, Line.mdv201_hn_2_084_b38389, 106882.2, 38389.2,     2.1029
41, Transformer.mdv201_hn_2_084_b38389-1b, 38389.2, x_38389.2,     2.1029
42, Line.s_mdv201_hn_2_084_b38389-1b1, x_38389.2, x_38389_2.2,     2.1333
-1, Load.mdv201_hn_2_084_b38389-1b1, x_38389_2.2
42, Line.s_mdv201_hn_2_084_b38389-1b0, x_38389.2, x_38389_1.2,     2.1333
-1, Load.mdv201_hn_2_084_b38389-1b0, x_38389_1.2
31, Line.mdv201_104355fuse, 8160.2, 104355.2,     1.6472
32, Line.mdv201_hn_2_218_b8161, 104355.2, 8161.2,     1.7386
33, Transformer.mdv201_hn_2_218_b8161-1b, 8161.2, x_8161.2,     1.7386
34, Line.s_mdv201_hn_2_218_b8161-1b1, x_8161.2, x_8161_2.2,     1.7691
-1, Load.mdv201_hn_2_218_b8161-1b1, x_8161_2.2
34, Line.s_mdv201_hn_2_218_b8161-1b0, x_8161.2, x_8161_1.2,     1.7691
-1, Load.mdv201_hn_2_218_b8161-1b0, x_8161_1.2
33, Line.mdv201_hn_2_219_b8162, 8161.2, 8162.2,     1.8307
34, Line.mdv201_hn_2_220_b44580, 8162.2, 44580.2,     1.9151
35, Transformer.mdv201_hn_2_220_b44580-1b, 44580.2, x_44580.2,     1.9151
36, Line.s_mdv201_hn_2_220_b44580-1b0, x_44580.2, x_44580_1.2,     1.9456
-1, Load.mdv201_hn_2_220_b44580-1b0, x_44580_1.2
35, Line.mdv201_hn_2_221_b8169, 44580.2, 8169.2,     2.0260
36, Line.mdv201_hn_21011_b1144229, 8169.2, 1144229.2,     2.1114
37, Transformer.mdv201_hn_21011_b1144229-1b, 1144229.2, x_1144229.2,     2.1114
38, Line.s_mdv201_hn_21011_b1144229-1b0, x_1144229.2, x_1144229_1.2,     2.1419
-1, Load.mdv201_hn_21011_b1144229-1b0, x_1144229_1.2
36, Line.mdv201_hn_2_223_b8168, 8169.2, 8168.2,     2.1181
37, Transformer.mdv201_hn_2_223_b8168-1b, 8168.2, x_8168.2,     2.1181
38, Line.s_mdv201_hn_2_223_b8168-1b1, x_8168.2, x_8168_2.2,     2.1486
-1, Load.mdv201_hn_2_223_b8168-1b1, x_8168_2.2
38, Line.s_mdv201_hn_2_223_b8168-1b0, x_8168.2, x_8168_1.2,     2.1486
-1, Load.mdv201_hn_2_223_b8168-1b0, x_8168_1.2
25, Line.mdv201_1144254fuse, 28244.2, 1144254.2,     1.3113
26, Line.mdv201_hn_2_729_b28246, 1144254.2, 28246.2,     1.3375
27, Transformer.mdv201_hn_2_729_b28246-1b, 28246.2, x_28246.2,     1.3375
28, Line.s_mdv201_hn_2_729_b28246-1b0, x_28246.2, x_28246_1.2,     1.3680
-1, Load.mdv201_hn_2_729_b28246-1b0, x_28246_1.2
27, Line.mdv201_hn_2_730_b14851, 28246.2, 14851.2,     1.4341
28, Line.mdv201_hn_2_731_b14852, 14851.2, 14852.2,     1.5256
29, Transformer.mdv201_hn_2_731_b14852-1b, 14852.2, x_14852.2,     1.5256
30, Line.s_mdv201_hn_2_731_b14852-1b0, x_14852.2, x_14852_1.2,     1.5560
-1, Load.mdv201_hn_2_731_b14852-1b0, x_14852_1.2
17, Line.mdv201_hn_2_394_abc63658, 63657, 63658,     0.8604
18, Transformer.mdv201_hn_2_394_abc63658-1b, 63658.2, x_63658.2,     0.8604
19, Line.s_mdv201_hn_2_394_abc63658-1b0, x_63658.2, x_63658_1.2,     0.8909
-1, Load.mdv201_hn_2_394_abc63658-1b0, x_63658_1.2
18, Line.mdv201_hn_2_393_abc63659, 63658, 63659,     0.9144
19, Line.mdv201_107108fuse, 63659.2, 107108.2,     0.9159
20, Line.mdv201_hn_2_392_b63661, 107108.2, 63661.2,     0.9561
21, Transformer.mdv201_hn_2_392_b63661-1b, 63661.2, x_63661.2,     0.9561
22, Line.s_mdv201_hn_2_392_b63661-1b3, x_63661.2, x_63661_4.2,     0.9866
-1, Load.mdv201_hn_2_392_b63661-1b3, x_63661_4.2
22, Line.s_mdv201_hn_2_392_b63661-1b2, x_63661.2, x_63661_3.2,     0.9866
-1, Load.mdv201_hn_2_392_b63661-1b2, x_63661_3.2
22, Line.s_mdv201_hn_2_392_b63661-1b1, x_63661.2, x_63661_2.2,     0.9866
-1, Load.mdv201_hn_2_392_b63661-1b1, x_63661_2.2
22, Line.s_mdv201_hn_2_392_b63661-1b0, x_63661.2, x_63661_1.2,     0.9866
-1, Load.mdv201_hn_2_392_b63661-1b0, x_63661_1.2
21, Line.mdv201_hn_2_391_b63644, 63661.2, 63644.2,     1.0143
22, Transformer.mdv201_hn_2_391_b63644-1b, 63644.2, x_63644.2,     1.0143
23, Line.s_mdv201_hn_2_391_b63644-1b1, x_63644.2, x_63644_2.2,     1.0448
-1, Load.mdv201_hn_2_391_b63644-1b1, x_63644_2.2
23, Line.s_mdv201_hn_2_391_b63644-1b0, x_63644.2, x_63644_1.2,     1.0448
-1, Load.mdv201_hn_2_391_b63644-1b0, x_63644_1.2
22, Line.mdv201_hn_2_390_b63640, 63644.2, 63640.2,     1.0567
23, Transformer.mdv201_hn_2_390_b63640-1b, 63640.2, x_63640.2,     1.0567
24, Line.s_mdv201_hn_2_390_b63640-1b2, x_63640.2, x_63640_3.2,     1.0872
-1, Load.mdv201_hn_2_390_b63640-1b2, x_63640_3.2
24, Line.s_mdv201_hn_2_390_b63640-1b1, x_63640.2, x_63640_2.2,     1.0872
-1, Load.mdv201_hn_2_390_b63640-1b1, x_63640_2.2
24, Line.s_mdv201_hn_2_390_b63640-1b0, x_63640.2, x_63640_1.2,     1.0872
-1, Load.mdv201_hn_2_390_b63640-1b0, x_63640_1.2
23, Line.mdv201_hn_2_396_b63635, 63640.2, 63635.2,     1.1091
24, Line.mdv201_107106fuse, 63635.2, 107106.2,     1.1106
25, Line.mdv201_hn_2_397_b63634, 107106.2, 63634.2,     1.1628
26, Transformer.mdv201_hn_2_397_b63634-1b, 63634.2, x_63634.2,     1.1628
27, Line.s_mdv201_hn_2_397_b63634-1b4, x_63634.2, x_63634_5.2,     1.1932
-1, Load.mdv201_hn_2_397_b63634-1b4, x_63634_5.2
27, Line.s_mdv201_hn_2_397_b63634-1b3, x_63634.2, x_63634_4.2,     1.1932
-1, Load.mdv201_hn_2_397_b63634-1b3, x_63634_4.2
27, Line.s_mdv201_hn_2_397_b63634-1b2, x_63634.2, x_63634_3.2,     1.1932
-1, Load.mdv201_hn_2_397_b63634-1b2, x_63634_3.2
27, Line.s_mdv201_hn_2_397_b63634-1b1, x_63634.2, x_63634_2.2,     1.1932
-1, Load.mdv201_hn_2_397_b63634-1b1, x_63634_2.2
27, Line.s_mdv201_hn_2_397_b63634-1b0, x_63634.2, x_63634_1.2,     1.1932
-1, Load.mdv201_hn_2_397_b63634-1b0, x_63634_1.2
26, Line.mdv201_hn_2_398_b63633, 63634.2, 63633.2,     1.2207
27, Transformer.mdv201_hn_2_398_b63633-1b, 63633.2, x_63633.2,     1.2207
28, Line.s_mdv201_hn_2_398_b63633-1b2, x_63633.2, x_63633_3.2,     1.2512
-1, Load.mdv201_hn_2_398_b63633-1b2, x_63633_3.2
28, Line.s_mdv201_hn_2_398_b63633-1b1, x_63633.2, x_63633_2.2,     1.2512
-1, Load.mdv201_hn_2_398_b63633-1b1, x_63633_2.2
28, Line.s_mdv201_hn_2_398_b63633-1b0, x_63633.2, x_63633_1.2,     1.2512
-1, Load.mdv201_hn_2_398_b63633-1b0, x_63633_1.2
27, Line.mdv201_hn_2_399_b63641, 63633.2, 63641.2,     1.2560
28, Transformer.mdv201_hn_2_399_b63641-1b, 63641.2, x_63641.2,     1.2560
29, Line.s_mdv201_hn_2_399_b63641-1b1, x_63641.2, x_63641_2.2,     1.2865
-1, Load.mdv201_hn_2_399_b63641-1b1, x_63641_2.2
29, Line.s_mdv201_hn_2_399_b63641-1b0, x_63641.2, x_63641_1.2,     1.2865
-1, Load.mdv201_hn_2_399_b63641-1b0, x_63641_1.2
28, Line.mdv201_hn_2_400_b63637, 63641.2, 63637.2,     1.3014
29, Transformer.mdv201_hn_2_400_b63637-1b, 63637.2, x_63637.2,     1.3014
30, Line.s_mdv201_hn_2_400_b63637-1b2, x_63637.2, x_63637_3.2,     1.3319
-1, Load.mdv201_hn_2_400_b63637-1b2, x_63637_3.2
30, Line.s_mdv201_hn_2_400_b63637-1b1, x_63637.2, x_63637_2.2,     1.3319
-1, Load.mdv201_hn_2_400_b63637-1b1, x_63637_2.2
30, Line.s_mdv201_hn_2_400_b63637-1b0, x_63637.2, x_63637_1.2,     1.3319
-1, Load.mdv201_hn_2_400_b63637-1b0, x_63637_1.2
29, Line.mdv201_hn_2_401_b63632, 63637.2, 63632.2,     1.3341
30, Transformer.mdv201_hn_2_401_b63632-1b, 63632.2, x_63632.2,     1.3341
31, Line.s_mdv201_hn_2_401_b63632-1b1, x_63632.2, x_63632_2.2,     1.3645
-1, Load.mdv201_hn_2_401_b63632-1b1, x_63632_2.2
31, Line.s_mdv201_hn_2_401_b63632-1b0, x_63632.2, x_63632_1.2,     1.3645
-1, Load.mdv201_hn_2_401_b63632-1b0, x_63632_1.2
30, Line.mdv201_hn_2_402_b793, 63632.2, 793.2,     1.3914
31, Transformer.mdv201_hn_2_402_b793-1b, 793.2, x_793.2,     1.3914
32, Line.s_mdv201_hn_2_402_b793-1b2, x_793.2, x_793_3.2,     1.4218
-1, Load.mdv201_hn_2_402_b793-1b2, x_793_3.2
32, Line.s_mdv201_hn_2_402_b793-1b1, x_793.2, x_793_2.2,     1.4218
-1, Load.mdv201_hn_2_402_b793-1b1, x_793_2.2
32, Line.s_mdv201_hn_2_402_b793-1b0, x_793.2, x_793_1.2,     1.4218
-1, Load.mdv201_hn_2_402_b793-1b0, x_793_1.2
31, Line.mdv201_hn_2_403_b792, 793.2, 792.2,     1.4350
32, Transformer.mdv201_hn_2_403_b792-1b, 792.2, x_792.2,     1.4350
33, Line.s_mdv201_hn_2_403_b792-1b1, x_792.2, x_792_2.2,     1.4654
-1, Load.mdv201_hn_2_403_b792-1b1, x_792_2.2
33, Line.s_mdv201_hn_2_403_b792-1b0, x_792.2, x_792_1.2,     1.4654
-1, Load.mdv201_hn_2_403_b792-1b0, x_792_1.2
32, Line.mdv201_hn_2_404_b799, 792.2, 799.2,     1.4609
33, Transformer.mdv201_hn_2_404_b799-1b, 799.2, x_799.2,     1.4609
34, Line.s_mdv201_hn_2_404_b799-1b1, x_799.2, x_799_2.2,     1.4913
-1, Load.mdv201_hn_2_404_b799-1b1, x_799_2.2
34, Line.s_mdv201_hn_2_404_b799-1b0, x_799.2, x_799_1.2,     1.4913
-1, Load.mdv201_hn_2_404_b799-1b0, x_799_1.2
23, Line.mdv201_hn_2_389_b63636, 63640.2, 63636.2,     1.1039
24, Transformer.mdv201_hn_2_389_b63636-1b, 63636.2, x_63636.2,     1.1039
25, Line.s_mdv201_hn_2_389_b63636-1b2, x_63636.2, x_63636_3.2,     1.1344
-1, Load.mdv201_hn_2_389_b63636-1b2, x_63636_3.2
25, Line.s_mdv201_hn_2_389_b63636-1b1, x_63636.2, x_63636_2.2,     1.1344
-1, Load.mdv201_hn_2_389_b63636-1b1, x_63636_2.2
25, Line.s_mdv201_hn_2_389_b63636-1b0, x_63636.2, x_63636_1.2,     1.1344
-1, Load.mdv201_hn_2_389_b63636-1b0, x_63636_1.2
24, Line.mdv201_hn_2_388_b802, 63636.2, 802.2,     1.1439
25, Transformer.mdv201_hn_2_388_b802-1b, 802.2, x_802.2,     1.1439
26, Line.s_mdv201_hn_2_388_b802-1b2, x_802.2, x_802_3.2,     1.1743
-1, Load.mdv201_hn_2_388_b802-1b2, x_802_3.2
26, Line.s_mdv201_hn_2_388_b802-1b1, x_802.2, x_802_2.2,     1.1743
-1, Load.mdv201_hn_2_388_b802-1b1, x_802_2.2
26, Line.s_mdv201_hn_2_388_b802-1b0, x_802.2, x_802_1.2,     1.1743
-1, Load.mdv201_hn_2_388_b802-1b0, x_802_1.2
25, Line.mdv201_hn_2_405_b803, 802.2, 803.2,     1.1957
26, Transformer.mdv201_hn_2_405_b803-1b, 803.2, x_803.2,     1.1957
27, Line.s_mdv201_hn_2_405_b803-1b1, x_803.2, x_803_2.2,     1.2262
-1, Load.mdv201_hn_2_405_b803-1b1, x_803_2.2
27, Line.s_mdv201_hn_2_405_b803-1b0, x_803.2, x_803_1.2,     1.2262
-1, Load.mdv201_hn_2_405_b803-1b0, x_803_1.2
26, Line.mdv201_805fuse, 803.2, 805.2,     1.1972
27, Line.mdv201_hn_2_406_b806, 805.2, 806.2,     1.2673
28, Transformer.mdv201_hn_2_406_b806-1b, 806.2, x_806.2,     1.2673
29, Line.s_mdv201_hn_2_406_b806-1b3, x_806.2, x_806_4.2,     1.2978
-1, Load.mdv201_hn_2_406_b806-1b3, x_806_4.2
29, Line.s_mdv201_hn_2_406_b806-1b2, x_806.2, x_806_3.2,     1.2978
-1, Load.mdv201_hn_2_406_b806-1b2, x_806_3.2
29, Line.s_mdv201_hn_2_406_b806-1b1, x_806.2, x_806_2.2,     1.2978
-1, Load.mdv201_hn_2_406_b806-1b1, x_806_2.2
29, Line.s_mdv201_hn_2_406_b806-1b0, x_806.2, x_806_1.2,     1.2978
-1, Load.mdv201_hn_2_406_b806-1b0, x_806_1.2
28, Line.mdv201_hn_2_407_b809, 806.2, 809.2,     1.3219
29, Transformer.mdv201_hn_2_407_b809-1b, 809.2, x_809.2,     1.3219
30, Line.s_mdv201_hn_2_407_b809-1b2, x_809.2, x_809_3.2,     1.3523
-1, Load.mdv201_hn_2_407_b809-1b2, x_809_3.2
30, Line.s_mdv201_hn_2_407_b809-1b1, x_809.2, x_809_2.2,     1.3523
-1, Load.mdv201_hn_2_407_b809-1b1, x_809_2.2
30, Line.s_mdv201_hn_2_407_b809-1b0, x_809.2, x_809_1.2,     1.3523
-1, Load.mdv201_hn_2_407_b809-1b0, x_809_1.2
29, Line.mdv201_hn_2_425_b813, 809.2, 813.2,     1.3594
30, Transformer.mdv201_hn_2_425_b813-1b, 813.2, x_813.2,     1.3594
31, Line.s_mdv201_hn_2_425_b813-1b2, x_813.2, x_813_3.2,     1.3898
-1, Load.mdv201_hn_2_425_b813-1b2, x_813_3.2
31, Line.s_mdv201_hn_2_425_b813-1b1, x_813.2, x_813_2.2,     1.3898
-1, Load.mdv201_hn_2_425_b813-1b1, x_813_2.2
31, Line.s_mdv201_hn_2_425_b813-1b0, x_813.2, x_813_1.2,     1.3898
-1, Load.mdv201_hn_2_425_b813-1b0, x_813_1.2
30, Line.mdv201_hn_2_426_b816, 813.2, 816.2,     1.4020
31, Transformer.mdv201_hn_2_426_b816-1b, 816.2, x_816.2,     1.4020
32, Line.s_mdv201_hn_2_426_b816-1b0, x_816.2, x_816_1.2,     1.4325
-1, Load.mdv201_hn_2_426_b816-1b0, x_816_1.2
31, Line.mdv201_hn_2_428_b812, 816.2, 812.2,     1.4545
32, Transformer.mdv201_hn_2_428_b812-1b, 812.2, x_812.2,     1.4545
33, Line.s_mdv201_hn_2_428_b812-1b3, x_812.2, x_812_4.2,     1.4849
-1, Load.mdv201_hn_2_428_b812-1b3, x_812_4.2
33, Line.s_mdv201_hn_2_428_b812-1b2, x_812.2, x_812_3.2,     1.4849
-1, Load.mdv201_hn_2_428_b812-1b2, x_812_3.2
33, Line.s_mdv201_hn_2_428_b812-1b1, x_812.2, x_812_2.2,     1.4849
-1, Load.mdv201_hn_2_428_b812-1b1, x_812_2.2
33, Line.s_mdv201_hn_2_428_b812-1b0, x_812.2, x_812_1.2,     1.4849
-1, Load.mdv201_hn_2_428_b812-1b0, x_812_1.2
32, Line.mdv201_hn_2_429_b807, 812.2, 807.2,     1.4996
33, Transformer.mdv201_hn_2_429_b807-1b, 807.2, x_807.2,     1.4996
34, Line.s_mdv201_hn_2_429_b807-1b2, x_807.2, x_807_3.2,     1.5300
-1, Load.mdv201_hn_2_429_b807-1b2, x_807_3.2
34, Line.s_mdv201_hn_2_429_b807-1b1, x_807.2, x_807_2.2,     1.5300
-1, Load.mdv201_hn_2_429_b807-1b1, x_807_2.2
34, Line.s_mdv201_hn_2_429_b807-1b0, x_807.2, x_807_1.2,     1.5300
-1, Load.mdv201_hn_2_429_b807-1b0, x_807_1.2
33, Line.mdv201_hn_2_430_b797, 807.2, 797.2,     1.5389
34, Transformer.mdv201_hn_2_430_b797-1b, 797.2, x_797.2,     1.5389
35, Line.s_mdv201_hn_2_430_b797-1b1, x_797.2, x_797_2.2,     1.5694
-1, Load.mdv201_hn_2_430_b797-1b1, x_797_2.2
35, Line.s_mdv201_hn_2_430_b797-1b0, x_797.2, x_797_1.2,     1.5694
-1, Load.mdv201_hn_2_430_b797-1b0, x_797_1.2
34, Line.mdv201_hn_2_431_b789, 797.2, 789.2,     1.5849
35, Transformer.mdv201_hn_2_431_b789-1b, 789.2, x_789.2,     1.5849
36, Line.s_mdv201_hn_2_431_b789-1b2, x_789.2, x_789_3.2,     1.6154
-1, Load.mdv201_hn_2_431_b789-1b2, x_789_3.2
36, Line.s_mdv201_hn_2_431_b789-1b1, x_789.2, x_789_2.2,     1.6154
-1, Load.mdv201_hn_2_431_b789-1b1, x_789_2.2
36, Line.s_mdv201_hn_2_431_b789-1b0, x_789.2, x_789_1.2,     1.6154
-1, Load.mdv201_hn_2_431_b789-1b0, x_789_1.2
35, Line.mdv201_hn_2_432_b786, 789.2, 786.2,     1.6309
36, Transformer.mdv201_hn_2_432_b786-1b, 786.2, x_786.2,     1.6309
37, Line.s_mdv201_hn_2_432_b786-1b1, x_786.2, x_786_2.2,     1.6614
-1, Load.mdv201_hn_2_432_b786-1b1, x_786_2.2
37, Line.s_mdv201_hn_2_432_b786-1b0, x_786.2, x_786_1.2,     1.6614
-1, Load.mdv201_hn_2_432_b786-1b0, x_786_1.2
36, Line.mdv201_hn_2_433_b787, 786.2, 787.2,     1.6760
37, Transformer.mdv201_hn_2_433_b787-1b, 787.2, x_787.2,     1.6760
38, Line.s_mdv201_hn_2_433_b787-1b4, x_787.2, x_787_5.2,     1.7065
-1, Load.mdv201_hn_2_433_b787-1b4, x_787_5.2
38, Line.s_mdv201_hn_2_433_b787-1b3, x_787.2, x_787_4.2,     1.7065
-1, Load.mdv201_hn_2_433_b787-1b3, x_787_4.2
38, Line.s_mdv201_hn_2_433_b787-1b2, x_787.2, x_787_3.2,     1.7065
-1, Load.mdv201_hn_2_433_b787-1b2, x_787_3.2
38, Line.s_mdv201_hn_2_433_b787-1b1, x_787.2, x_787_2.2,     1.7065
-1, Load.mdv201_hn_2_433_b787-1b1, x_787_2.2
38, Line.s_mdv201_hn_2_433_b787-1b0, x_787.2, x_787_1.2,     1.7065
-1, Load.mdv201_hn_2_433_b787-1b0, x_787_1.2
31, Line.mdv201_hn_2_427_b826, 816.2, 826.2,     1.4651
32, Transformer.mdv201_hn_2_427_b826-1b, 826.2, x_826.2,     1.4651
33, Line.s_mdv201_hn_2_427_b826-1b1, x_826.2, x_826_2.2,     1.4956
-1, Load.mdv201_hn_2_427_b826-1b1, x_826_2.2
33, Line.s_mdv201_hn_2_427_b826-1b0, x_826.2, x_826_1.2,     1.4956
-1, Load.mdv201_hn_2_427_b826-1b0, x_826_1.2
25, Line.mdv201_hn_2_387_b804, 802.2, 804.2,     1.1957
26, Transformer.mdv201_hn_2_387_b804-1b, 804.2, x_804.2,     1.1957
27, Line.s_mdv201_hn_2_387_b804-1b2, x_804.2, x_804_3.2,     1.2262
-1, Load.mdv201_hn_2_387_b804-1b2, x_804_3.2
27, Line.s_mdv201_hn_2_387_b804-1b1, x_804.2, x_804_2.2,     1.2262
-1, Load.mdv201_hn_2_387_b804-1b1, x_804_2.2
27, Line.s_mdv201_hn_2_387_b804-1b0, x_804.2, x_804_1.2,     1.2262
-1, Load.mdv201_hn_2_387_b804-1b0, x_804_1.2
26, Line.mdv201_hn_2_386_b811, 804.2, 811.2,     1.2335
27, Transformer.mdv201_hn_2_386_b811-1b, 811.2, x_811.2,     1.2335
28, Line.s_mdv201_hn_2_386_b811-1b2, x_811.2, x_811_3.2,     1.2640
-1, Load.mdv201_hn_2_386_b811-1b2, x_811_3.2
